"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"04/06/2019","24,491.0","23,419.5","24,491.0","23,381.2","1.09M","4.58%"
"03/06/2019","23,419.5","24,031.8","24,108.3","23,419.5","1.63M","-2.86%"
"31/05/2019","24,108.3","24,223.1","24,414.4","24,070.0","1.15M","-0.94%"
"30/05/2019","24,337.9","24,644.1","24,720.6","24,337.9","844.96K","-0.63%"
"29/05/2019","24,491.0","24,720.6","24,835.4","24,452.7","1.13M","-0.93%"
"28/05/2019","24,720.6","24,873.7","25,103.3","24,605.8","1.11M","-0.92%"
"27/05/2019","24,950.2","24,873.7","25,026.7","24,797.1","661.59K","0.31%"
"24/05/2019","24,873.7","25,332.9","25,447.7","24,873.7","1.90M","-2.69%"
"23/05/2019","25,562.5","25,256.3","25,562.5","24,950.2","1.00M","0.60%"
"22/05/2019","25,409.4","25,294.6","25,715.5","25,294.6","1.59M","0.45%"
"21/05/2019","25,294.6","25,026.7","25,447.7","24,950.2","2.16M","1.07%"
"20/05/2019","25,026.7","24,567.5","25,179.8","24,567.5","1.21M","1.71%"
"17/05/2019","24,605.8","25,026.7","25,026.7","24,491.0","1.18M","-1.38%"
"16/05/2019","24,950.2","25,218.1","25,256.3","24,835.4","976.23K","-0.91%"
"15/05/2019","25,179.8","24,950.2","25,332.9","24,720.6","1.84M","1.54%"
"14/05/2019","24,797.1","24,835.4","24,950.2","24,491.0","1.37M","-0.92%"
"13/05/2019","25,026.7","24,491.0","25,103.3","24,491.0","979.04K","2.19%"
"10/05/2019","24,491.0","24,108.3","24,644.1","24,031.8","1.38M","2.89%"
"09/05/2019","23,802.2","24,988.5","25,103.3","23,725.6","2.44M","-3.86%"
"08/05/2019","24,758.9","25,026.7","25,256.3","24,758.9","1.42M","-2.27%"
"07/05/2019","25,332.9","25,485.9","25,945.1","25,179.8","1.19M","0.00%"
"06/05/2019","25,332.9","25,753.8","25,945.1","25,256.3","1.53M","-3.22%"
"03/05/2019","26,174.7","26,404.3","26,633.9","26,174.7","698.44K","-0.87%"
"02/05/2019","26,404.3","26,787.0","26,787.0","26,404.3","608.05K","-0.86%"
"26/04/2019","26,633.9","26,404.3","26,710.5","26,404.3","608.98K","0.87%"
"25/04/2019","26,404.3","26,480.9","26,787.0","26,404.3","584.35K","-0.29%"
"24/04/2019","26,480.9","26,404.3","26,633.9","26,251.3","676.77K","1.17%"
"23/04/2019","26,174.7","26,480.9","26,480.9","25,983.4","1.26M","0.00%"
"22/04/2019","26,174.7","26,672.2","26,672.2","25,983.4","864.62K","-1.87%"
"19/04/2019","26,672.2","26,633.9","26,940.1","26,557.4","369.60K","0.14%"
"18/04/2019","26,633.9","26,633.9","27,093.2","26,519.1","1.28M","0.00%"
"17/04/2019","26,633.9","27,169.7","27,169.7","26,633.9","1.07M","-1.97%"
"16/04/2019","27,169.7","26,480.9","27,246.2","26,174.7","1.77M","2.16%"
"12/04/2019","26,595.7","26,863.5","26,940.1","26,557.4","1.12M","-1.14%"
"11/04/2019","26,901.8","27,016.6","27,169.7","26,748.7","809.91K","-0.14%"
"10/04/2019","26,940.1","27,361.0","27,399.3","26,940.1","657.17K","-1.54%"
"09/04/2019","27,361.0","27,169.7","27,705.4","27,169.7","2.62M","0.70%"
"08/04/2019","27,169.7","26,633.9","27,208.0","26,633.9","1.31M","1.28%"
"05/04/2019","26,825.3","27,016.6","27,322.8","26,633.9","927.74K","-0.71%"
"04/04/2019","27,016.6","27,552.4","27,552.4","26,901.8","1.33M","-1.12%"
"03/04/2019","27,322.8","26,633.9","27,628.9","26,366.1","2.38M","2.59%"
"02/04/2019","26,633.9","27,552.4","27,552.4","26,633.9","1.83M","-1.97%"
"01/04/2019","27,169.7","27,399.3","27,782.0","27,016.6","1.14M","-0.84%"
"29/03/2019","27,399.3","27,246.2","27,552.4","27,246.2","2.08M","0.56%"
"28/03/2019","27,246.2","26,366.1","27,437.6","26,366.1","2.76M","2.01%"
"27/03/2019","26,710.5","26,672.2","26,863.5","26,251.3","1.56M","1.75%"
"26/03/2019","26,251.3","26,710.5","26,863.5","26,174.7","1.31M","-0.58%"
"25/03/2019","26,404.3","26,098.2","26,787.0","25,639.0","2.63M","-1.71%"
"22/03/2019","26,863.5","27,093.2","27,322.8","26,633.9","2.36M","0.86%"
"21/03/2019","26,633.9","27,743.7","28,049.8","26,633.9","2.82M","-3.60%"
"20/03/2019","27,628.9","27,667.2","27,935.0","27,169.7","3.40M","-1.37%"
"19/03/2019","28,011.6","28,432.5","28,547.3","27,935.0","3.55M","-1.88%"
"18/03/2019","28,547.3","28,470.8","28,776.9","28,241.2","3.68M","0.27%"
"15/03/2019","28,470.8","27,705.4","28,700.4","27,475.8","4.00M","2.76%"
"14/03/2019","27,705.4","27,246.2","28,088.1","26,940.1","3.33M","1.69%"
"13/03/2019","27,246.2","27,016.6","27,514.1","26,940.1","3.60M","0.28%"
"12/03/2019","27,169.7","26,098.2","27,169.7","25,868.6","2.13M","5.50%"
"11/03/2019","25,753.8","26,098.2","26,098.2","25,600.7","1.43M","-1.03%"
"08/03/2019","26,021.7","26,366.1","26,557.4","25,945.1","2.28M","-2.58%"
"07/03/2019","26,710.5","26,787.0","26,978.3","26,557.4","2.14M","0.43%"
"06/03/2019","26,595.7","26,480.9","26,710.5","26,327.8","2.01M","0.43%"
"05/03/2019","26,480.9","25,409.4","27,016.6","25,409.4","5.30M","2.98%"
"04/03/2019","25,715.5","25,332.9","25,830.3","25,256.3","1.15M","2.28%"
"01/03/2019","25,141.5","24,950.2","25,332.9","24,950.2","1.45M","1.08%"
"28/02/2019","24,873.7","25,715.5","25,830.3","24,873.7","2.26M","-3.27%"
"27/02/2019","25,715.5","25,715.5","25,983.4","25,639.0","942.09K","0.00%"
"26/02/2019","25,715.5","25,792.1","26,021.7","25,639.0","1.77M","-1.18%"
"25/02/2019","26,021.7","26,404.3","26,404.3","25,792.1","2.12M","0.00%"
"22/02/2019","26,021.7","26,174.7","26,557.4","26,021.7","1.84M","-0.73%"
"21/02/2019","26,213.0","26,213.0","26,519.1","26,021.7","2.71M","0.74%"
"20/02/2019","26,021.7","25,103.3","26,710.5","24,988.5","2.97M","3.34%"
"19/02/2019","25,179.8","25,639.0","25,830.3","25,179.8","1.44M","-1.79%"
"18/02/2019","25,639.0","25,639.0","25,792.1","25,409.4","1.20M","1.06%"
"15/02/2019","25,371.1","24,758.9","25,868.6","24,567.5","2.04M","2.31%"
"14/02/2019","24,797.1","24,873.7","24,911.9","24,758.9","1.28M","-0.31%"
"13/02/2019","24,873.7","24,911.9","24,950.2","24,682.3","1.96M","0.15%"
"12/02/2019","24,835.4","24,529.3","25,026.7","24,529.3","1.76M","1.57%"
"11/02/2019","24,452.7","24,567.5","24,682.3","24,337.9","794.50K","1.11%"
"01/02/2019","24,184.8","24,070.0","24,376.2","24,031.8","675.45K","0.32%"
"31/01/2019","24,108.3","24,644.1","24,644.1","24,108.3","852.88K","-0.63%"
"30/01/2019","24,261.4","24,414.4","24,682.3","24,184.8","540.07K","0.00%"
"29/01/2019","24,261.4","24,414.4","24,414.4","24,146.6","799.76K","-0.63%"
"28/01/2019","24,414.4","24,529.3","24,758.9","24,337.9","685.69K","-0.47%"
"25/01/2019","24,529.3","25,026.7","25,026.7","24,491.0","718.12K","-1.38%"
"24/01/2019","24,873.7","24,911.9","25,141.5","24,873.7","728.89K","-0.61%"
"23/01/2019","25,026.7","24,797.1","25,141.5","24,567.5","575.72K","-0.15%"
"22/01/2019","25,065.0","25,179.8","25,332.9","25,026.7","709.27K","-0.30%"
"21/01/2019","25,141.5","24,491.0","25,524.2","24,261.4","1.52M","3.63%"
"18/01/2019","24,261.4","24,452.7","24,720.6","24,223.1","640.35K","-0.78%"
"17/01/2019","24,452.7","24,644.1","24,797.1","24,414.4","374.24K","-0.78%"
"16/01/2019","24,644.1","25,026.7","25,065.0","24,644.1","457.40K","-0.92%"
"15/01/2019","24,873.7","24,299.6","25,103.3","24,299.6","730.36K","1.88%"
"14/01/2019","24,414.4","24,414.4","24,758.9","24,070.0","950.72K","0.00%"
"11/01/2019","24,414.4","24,873.7","25,103.3","24,376.2","1.18M","-1.85%"
"10/01/2019","24,873.7","25,256.3","25,332.9","24,873.7","516.52K","-1.51%"
"09/01/2019","25,256.3","24,720.6","25,294.6","24,567.5","1.35M","3.12%"
"08/01/2019","24,491.0","24,950.2","24,950.2","24,414.4","702.48K","-0.93%"
"07/01/2019","24,720.6","24,491.0","25,256.3","24,491.0","1.01M","2.38%"
"04/01/2019","24,146.6","24,108.3","24,452.7","23,572.6","1.83M","-1.41%"
"03/01/2019","24,491.0","25,639.0","25,868.6","24,491.0","1.39M","-4.48%"
"02/01/2019","25,639.0","26,327.8","26,327.8","25,600.7","1.01M","-2.62%"
